frame.time_epoch,frame.number
1276225266.457536000,1
1276225266.719569000,2
1276225266.842047000,3
1276225266.842307000,4
1276225266.843007000,5
1276225266.843352000,6
1276225266.843477000,7
1276225266.850541000,8
1276225266.850747000,9
1276225266.988680000,10
1276225266.989185000,11
1276225266.989640000,12
1276225266.989862000,13
1276225267.081096000,14
1276225267.081336000,15
1276225267.082038000,16
1276225267.082374000,17
1276225267.082531000,18
1276225267.089616000,19
1276225267.089802000,20
1276225267.091072000,21
1276225267.107753000,22
1276225267.108256000,23
1276225267.125936000,24
1276225267.126093000,25
1276225267.141196000,26
1276225267.142191000,27
1276225267.142430000,28
1276225267.143131000,29
1276225267.145213000,30
1276225267.145856000,31
1276225267.146064000,32
1276225267.147550000,33
1276225267.147782000,34
1276225267.148699000,35
1276225267.148725000,36
1276225267.148926000,37
1276225267.148932000,38
1276225267.148934000,39
1276225267.149112000,40
1276225267.149118000,41
1276225267.149145000,42
1276225267.149386000,43
1276225267.149392000,44
1276225267.149531000,45
1276225267.149588000,46
1276225267.149760000,47
1276225267.149779000,48
1276225267.152212000,49
1276225267.152255000,50
1276225267.152446000,51
1276225267.152462000,52
1276225267.152609000,53
1276225267.152737000,54
1276225267.152882000,55
1276225267.153091000,56
1276225267.153220000,57
1276225267.153372000,58
1276225267.154093000,59
1276225267.154441000,60
1276225267.154592000,61
1276225267.154801000,62
1276225267.158734000,63
1276225267.158940000,64
1276225267.159295000,65
1276225267.159643000,66
1276225267.159820000,67
1276225267.159872000,68
1276225267.160122000,69
1276225267.160726000,70
1276225267.160731000,71
1276225267.161035000,72
1276225267.162109000,73
1276225267.162114000,74
1276225267.163347000,75
1276225267.168370000,76
1276225267.168559000,77
1276225267.169457000,78
1276225267.175159000,79
1276225267.185923000,80
1276225267.186093000,81
1276225267.192456000,82
1276225267.195918000,83
1276225267.196699000,84
1276225267.196705000,85
1276225267.197993000,86
1276225267.201449000,87
1276225267.205696000,88
1276225267.205927000,89
1276225267.206082000,90
1276225267.206945000,91
1276225267.226284000,92
1276225267.226502000,93
1276225267.231958000,94
1276225267.232303000,95
1276225267.232460000,96
1276225267.232609000,97
1276225267.232870000,98
1276225267.237927000,99
1276225267.238393000,100
1276225267.239707000,101
1276225267.247482000,102
1276225267.248022000,103
1276225267.248387000,104
1276225267.248949000,105
1276225267.249410000,106
1276225267.249695000,107
1276225267.250451000,108
1276225267.250898000,109
1276225267.251169000,110
1276225267.254375000,111
1276225267.256077000,112
1276225267.256516000,113
1276225267.256750000,114
1276225267.257289000,115
1276225267.259876000,116
1276225267.261107000,117
1276225267.262338000,118
1276225267.262466000,119
1276225267.263568000,120
1276225267.263649000,121
1276225267.264797000,122
1276225267.264874000,123
1276225267.264880000,124
1276225267.266067000,125
1276225267.266600000,126
1276225267.267300000,127
1276225267.267306000,128
1276225267.267831000,129
1276225267.269064000,130
1276225267.269143000,131
1276225267.270294000,132
1276225267.270373000,133
1276225267.270379000,134
1276225267.270673000,135
1276225267.271525000,136
1276225267.271652000,137
1276225267.272757000,138
1276225267.272884000,139
1276225267.272891000,140
1276225267.273987000,141
1276225267.274106000,142
1276225267.275217000,143
1276225267.275292000,144
1276225267.275298000,145
1276225267.276446000,146
1276225267.276565000,147
1276225267.277678000,148
1276225267.277799000,149
1276225267.277806000,150
